epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7857,1.75673,2.3826,1.73906,0.34371,0.36502,0.27954,0.0727,2.57657,2.7002,2.20774,0.0667603,3.32729e-05,3.32729e-05
2,128.066,1.64637,1.92681,1.63497,0.39651,0.3457,0.29213,0.07998,2.56412,2.55913,2.27433,0.0334597,6.59469e-05,6.59469e-05
3,191.806,1.57596,1.70871,1.56681,0.24761,0.28095,0.18439,0.04036,2.65605,2.82664,2.36233,0.000158347,9.79608e-05,9.79608e-05
4,256.325,1.54165,1.63455,1.54356,0.34596,0.31731,0.27344,0.07381,2.56838,2.69422,2.25238,9.703e-05,9.703e-05,9.703e-05
5,324.23,1.5221,1.57351,1.52382,0.36517,0.35568,0.26878,0.08021,2.45039,2.53659,2.10101,9.604e-05,9.604e-05,9.604e-05
6,391.963,1.49316,1.50243,1.49732,0.44718,0.3329,0.31967,0.0897,2.54144,2.58629,2.18129,9.505e-05,9.505e-05,9.505e-05
7,459.928,1.49175,1.47176,1.4866,0.41973,0.3121,0.26673,0.0622,2.67645,2.65454,2.2827,9.406e-05,9.406e-05,9.406e-05
8,528.208,1.48607,1.45929,1.47726,0.41708,0.31103,0.28457,0.0742,2.63171,2.73862,2.23364,9.307e-05,9.307e-05,9.307e-05
9,596.501,1.45768,1.39803,1.463,0.44842,0.41427,0.35008,0.10867,2.46245,2.32776,2.09783,9.208e-05,9.208e-05,9.208e-05
10,664.777,1.44014,1.38533,1.44692,0.46629,0.44409,0.38052,0.12889,2.39295,2.25402,2.01125,9.109e-05,9.109e-05,9.109e-05
11,732.972,1.43819,1.36286,1.43869,0.44342,0.36989,0.33394,0.0975,2.54522,2.47762,2.14817,9.01e-05,9.01e-05,9.01e-05
